Company Name,Domain,Vertical,Country,Tech Spend ($),Monthly Visits,Has Case Study Match,Emails,Phones,Social Links
,incamotorschevrolet.com.pe,Unknown,,25937,,No,,,facebook.com/chevroletincamotors; instagram.com/incamotors.oficial
,chevroletlago.com.ar,Automotive And Vehicles,,25937,,No,,,twitter.com/lagoeschevrolet; facebook.com/lagoeschevrolet
Happy Dogs Play And Stay,happydogsplayandstay.com,Unknown,US,25875,,No,contact@happydogsplayandstay.com,+1-678-999-2808,facebook.com/happydogsplayandstay; instagram.com/happydogsplayandstay
Nissan Motor Co. Ltd,nissan.lt,Unknown,FR,25846,,No,,+33-5-06085049; +33-2-11115615,facebook.com/nissanlietuva; youtube.com/user/nissanlietuva
,bfm-gvb.ch,,,25805,,No,,,
Nissan,nissan.co.il,Automotive And Vehicles,IL,25715,,No,,,facebook.com/nissan.il; instagram.com/nissan_israel_official
CIMB Bank Philippines Corporation,cimbbank.com.ph,Technology And Computing,PH,25712,,No,,,twitter.com/cimbbankph; facebook.com/cimbbankph
Briggs & Stratton Corporation,branco.com.br,"Law, Govt And Politics",BR,25690,,No,,,twitter.com/brancomotores; facebook.com/brancomotores
United HealthCare Services Inc,umr.com,Technology And Computing,US,25680,,No,,,youtube.com/user/myumrhealth
Novo Nordisk,novonordisk.ro,Technology And Computing,AL,25670,,No,,,twitter.com/novonordisk; facebook.com/novonordisk
MAXIMUS Canada Inc,maximuscanada.ca,Business And Industrial,CA,25654,,No,,+1-250-405-3700; +1-902-368-8122,twitter.com/maximus_canada; linkedin.com/company/maximus
Kellogg NA Co,cheezit.com,Food And Drink,US,25624,,No,,+1-800-962-1413; +61-38-8652934,twitter.com/cheezit; facebook.com/cheezit
The Three Accessories Store,three.ie,Technology And Computing,IE,25593,,No,privacy@three.ie,,twitter.com/threeireland; linkedin.com/company/three-ireland
,fi-events.com.br,Food And Drink,GB,25465,,No,,+44-800-2790357,
Cadillac Canada,cadillaccanada.ca,Automotive And Vehicles,CA,25254,,No,,+18002821376; +18004637483,facebook.com/cadillac; instagram.com/cadillac_canada
CereX B.V,cerex.nl,"Law, Govt And Politics",NL,25253,,No,info@cerex.nl,+31-499-428980,linkedin.com/company/cerex-bv
Sony Electronics Pte Ltd,sony-asia.com,Technology And Computing,SG,25221,,No,,,
Mercedes-Benz,mbusa.com,Automotive And Vehicles,US,25143,,No,,+1-866-990-9007; +1-877-570-0367,twitter.com/mbusa; instagram.com/mbusa
,mgbijapur.co.in,,,25140,,No,,,
Vancouver Harbour Flight Centre,vhfc.ca,Business And Industrial,CA,25140,,No,info@vhfc.ca,+1-604-647-7570,instagram.com/vhfcterminal; twitter.com/VHFCTerminal
,cropscience.bayer.com,,CA,25075,,No,,,
Golden Outlook Insurance Services,goldenoutlook.com,Pets,US,25060,,No,info@goldenoutlook.com,+1-877-486-2048; +1-562-269-4420,facebook.com/goldenoutlook; linkedin.com/company/golden-outlook
,myjemperlijourney.com,,,25047,,No,,,
Bank of Nova Scotia,banquescotia.com,Business And Industrial,CA,25021,,No,,+1-800-267-1234,facebook.com/scotiabank; twitter.com/scotiabank
Allianz SE,allianz.hu,Sports,HU,24975,,No,,,facebook.com/allianz.hu; linkedin.com/company/allianz.hu
CIMB Bank Cambodia PLC,cimbbank.com.kh,Business And Industrial,JP,24912,,No,,,
,mhr.co.za,Business And Industrial,ZA,24868,,No,,,
Mastercard,mastercard.fi,Shopping,FI,24800,,No,,,facebook.com/mastercardus; linkedin.com/company/mastercard
Mastercard,mastercard.it,Pets,IT,24800,,No,,,twitter.com/mastercardit; facebook.com/mastercarditalia
Novo Nordisk,novonordisk.ru,Education,RU,24670,,No,,,twitter.com/novonordisk; facebook.com/novonordisk
Novo Nordisk,novonordisk.se,Health And Fitness,SE,24617,,No,,,twitter.com/novonordisk; facebook.com/novonordisk
Novo Nordisk Portugal Lda,novonordisk.pt,Technology And Computing,PT,24617,,No,,,twitter.com/novonordisk; facebook.com/novonordisk
Alecensa,alecensa.com,Health And Fitness,,24604,,No,,,
CIMB Bank,cimbbank.com.vn,Religion And Spirituality,MY,24602,,No,,,facebook.com/cimbbankvn
,protea.marriott.com,Unknown,US,24498,,No,,,twitter.com/marriottbonvoy; instagram.com/marriottbonvoy
Shell Plc,shell.com.au,Business And Industrial,AU,24411,,No,,+61-893-386000; +61-39-6665550,twitter.com/shell; facebook.com/shell
,saltlakemoderndentistry.com,Health And Fitness,US,24301,,No,,+1-801-438-6355; +1-714-845-8605,facebook.com/saltlakemoderndentistry
Mkdalexander,mkdalexander.com,Technology And Computing,US,24301,,No,,+1-702-395-5437; +1-714-845-8605,
,clairemontsmilesdentistry.com,Health And Fitness,US,24301,,No,,+1-858-268-0110; +1-714-845-8500,twitter.com/smilegen
SoDo Smiles Dentistry,sodosmilesdentistry.com,Health And Fitness,US,24301,,No,,+1-407-392-1521; +1-714-845-8605,facebook.com/sodosmilesdentistryorlando
Woods Dental Group,woodsdentalgroup.com,Health And Fitness,US,24301,,No,,+1-936-271-5440; +1-714-845-8500,
Downey Promenade Dental Group,downeypromenadedentalgroup.com,Health And Fitness,US,24301,,No,,+1-562-441-7212; +1-714-845-8500,
Mesquite Dental Group,mesquitedentalgroup.com,Health And Fitness,US,24301,,No,,+1-972-270-7210; +1-714-845-8500,facebook.com/mesquitedentalgroupmesquite
mkdFortbend.com,mkdfortbend.com,Technology And Computing,US,24301,,No,,+1-714-845-8500; +1-714-845-8605,
Daniels Modern Dentistry,danielsmoderndentistry.com,Health And Fitness,US,24301,,No,,+1-239-288-0537; +1-714-845-8605,
Monet Dental Group,monetdentalgroup.com,Health And Fitness,US,24301,,No,,+1-909-646-3057; +1-714-845-8500,
Snellville Smiles Dentistry,snellvillesmilesdentistry.com,Health And Fitness,US,24301,,No,,+1-770-844-9454; +1-714-845-8500,twitter.com/smilegen
Dentists of Rowlett,dentistsofrowlett.com,Health And Fitness,US,24301,,No,,+1-972-402-5789; +1-714-845-8605,facebook.com/dentistsofrowlett
,mkdlasvegas.com,Technology And Computing,US,24301,,No,,+1-702-655-5435; +1-714-845-8500,
,dentistsofstudiocity.com,Health And Fitness,US,24301,,No,,+1-818-296-9142; +1-714-845-8605,facebook.com/dentistsofstudiocitystudiocity
Hemet Modern Dentistry,hemetmoderndentistry.com,Health And Fitness,US,24301,,No,,+1-951-404-5307; +1-714-845-8605,
,renomoderndentistry.com,Health And Fitness,US,24301,,No,,+1-775-329-4653; +1-775-851-2204,facebook.com/renomoderndentistryreno
Downey Modern Dentistry,downeymoderndentistry.com,Health And Fitness,US,24301,,No,,+1-562-273-2050; +1-714-845-8605,facebook.com/downeymoderndentistry
,sugarlandmoderndentistry.com,Health And Fitness,US,24301,,No,,+1-832-595-2100; +1-714-845-8500,
,mesavalleymoderndentistry.com,Health And Fitness,US,24301,,No,,+1-480-376-0593; +1-714-845-8500,facebook.com/mesavalleymoderndentistry
Catalina Smiles Dentistry,catalinasmiles.com,Health And Fitness,US,24301,,No,,+1-520-797-9061; +1-714-845-8500,twitter.com/smilegen; facebook.com/smilegen
Desert Crossing Dental Group,desertcrossingdental.com,Health And Fitness,US,24301,,No,,+1-760-674-9666; +1-714-845-8500,
Tangerine Dental Group,tangerinedentalgroup.com,Health And Fitness,US,24301,,No,,+1-520-544-5590; +1-714-845-8500,facebook.com/tangerinedentalgrouporovalley
Southcenter Modern Dentistry,southcentermoderndentistry.com,Health And Fitness,US,24301,,No,,+1-253-395-5555; +1-714-845-8500,
Dentists of Glendale,dentistsofglendale.com,Health And Fitness,US,24301,,No,,+1-818-528-4844; +1-714-845-8605,facebook.com/dentistsofglendale
Sparks Marina Dentistry,sparksmarinadentistry.com,Health And Fitness,US,24301,,No,,+1-775-359-1565; +1-714-845-8500,
East Murrieta Dental Group,eastmurrietadental.com,Health And Fitness,US,24301,,No,,+1-951-304-1348; +1-714-845-8500,
Santee Smiles Dentistry,santeesmilesdentistry.com,Health And Fitness,US,24301,,No,,+1-619-448-2158; +1-714-845-8500,twitter.com/smilegen
,mykidsdentistorchard.com,Technology And Computing,,24301,,No,,+1-303-254-5437; +1-714-845-8605,facebook.com/mykidsdentistwestminster
,scottsdaleandsheadentalgroup.com,Health And Fitness,US,24301,,No,,+1-480-544-2800; +1-714-845-8500,
,dentistsoflakeworth.com,Health And Fitness,US,24301,,No,,+1-817-778-0117; +1-714-845-8605,
,dentistsofhighlandpark.com,Health And Fitness,US,24301,,No,,+1-651-237-9913; +1-714-845-8500,facebook.com/dentistsofhighlandparkstpaul
Spring Market Dental Group,springmarketdentalgroup.com,Health And Fitness,AU,24301,,No,,+1-281-350-1837; +1-714-845-8500,
Woodbridge Dental Group,woodbridgedentalgroup.com,Health And Fitness,US,24301,,No,,+1-972-915-0484; +1-714-845-8500,facebook.com/woodbridgedentalgroupwylie
,simivalleysmiles.com,Health And Fitness,US,24301,,No,,+1-805-520-4800; +1-805-522-2600,twitter.com/smilegen
Rocklin Modern Dentistry,rocklinmoderndentistry.com,Art And Entertainment,US,24301,,No,,+1-916-435-1310; +1-916-660-9487,
,cheyennemtnmoderndentistry.com,Health And Fitness,US,24301,,No,,+1-719-280-0399; +1-714-845-8500,
Bristow Fountain Dentistry,bristowfountaindentistry.com,Health And Fitness,US,24301,,No,,+1-703-565-2920; +1-714-845-8605,
Mission Valley Dentists,missionvalleydentists.com,Health And Fitness,US,24301,,No,,+1-619-220-0159; +1-714-845-8500,facebook.com/missionvalleydentistssandiego
Bulverde Dentistry,bulverdedentistry.com,Health And Fitness,US,24301,,No,,+1-830-201-1085; +1-714-845-8500,facebook.com/bulverdedentistryspringbranch
,montecitotowncenterdental.com,Health And Fitness,US,24301,,No,,+1-702-658-2311; +1-714-845-8500,
Elk Grove Dental Group,elkgrovedental.com,Health And Fitness,US,24301,,No,,+1-916-686-9030; +1-714-845-8500,
Champlin Dentistry,champlindentistry.com,Health And Fitness,US,24301,,No,,+1-763-275-1318; +1-714-845-8500,facebook.com/champlindentistrychamplin
Promenade Dental Group,promenadedentist.com,Health And Fitness,US,24301,,No,,+1-916-285-6691; +1-714-845-8500,facebook.com/promenadedentalgroupsacramento
,deerspringsmoderndentistry.com,Health And Fitness,US,24301,,No,,+1-702-399-3800; +1-714-845-8500,
,marylandparkwaysmilesdentistry.com,Health And Fitness,US,24301,,No,,+1-702-723-2076; +1-714-845-8605,
Springdale Modern Dentistry,springdalemoderndentistry.com,Health And Fitness,US,24301,,No,,+1-513-729-7245; +1-714-845-8605,facebook.com/springdalemoderndentistry
Lindero Canyon Dental Group,linderocanyondentalgroup.com,Health And Fitness,US,24301,,No,,+1-818-706-0131; +1-714-845-8500,
,dentistsofanaheimhills.com,Health And Fitness,US,24301,,No,,+1-714-202-0765,facebook.com/dentistsofanaheimhills
,nuttreesmilesdentistry.com,Health And Fitness,US,24301,,No,,+1-707-451-8390; +1-714-845-8500,twitter.com/smilegen
Dentists of Hanover,dentistsofhanover.com,Health And Fitness,US,24301,,No,,+1-508-499-8435; +1-714-845-8605,
,botoxone.com,Health And Fitness,,24220,,No,,+1-800-442-6869; +1-833-382-7688,
Mastercard,mastercard.ie,Business And Industrial,IE,24200,,No,,,facebook.com/mastercardireland; twitter.com/mastercardire
Pro Health MD Network,prohealthmd.com,Health And Fitness,US,24194,,No,,,twitter.com/prohealthmd; facebook.com/prohealthphysicians
Costa Cruises,costacruises.co.uk,Travel,IT,24179,,No,,+44-800-3890622,facebook.com/costacruises.na; youtube.com/user/costacruises
Puberty Too Soon,pubertytoosoon.com,Society,US,24117,,No,,,
Lombard Ireland,lombard.ie,Finance,IE,24099,,No,info@lombard.ie,,
Advantage Plus Network Connecticut,advantageplusnetwork.com,Technology And Computing,US,24089,,No,,+1-844-758-8986,
,vinerandselig.ca,Finance,CA,23997,,No,,+1-902-423-8284,facebook.com/vinerandseligwealthmanagement
Viera Modern Dentistry,vieramoderndentistry.com,Health And Fitness,US,23991,,No,,+1-321-203-5251; +1-714-845-8500,facebook.com/vieramoderndentistrymelbourne
,norterrakidsdentistry.com,Technology And Computing,US,23991,,No,,+1-623-434-0543; +1-714-845-8605,
Novo Nordisk,novonordisk.sk,Technology And Computing,SK,23970,,No,,,twitter.com/novonordisk; facebook.com/novonordisk
Novo Nordisk Pharma Ltd,novonordisk.pk,Careers,PK,23970,,No,,,twitter.com/novonordisk; facebook.com/novonordiskpk
,novonordisk-xk.com,Technology And Computing,AL,23970,,No,,,twitter.com/novonordisk; facebook.com/novonordisk
Enterprise DE,enterprise.de,Technology And Computing,DE,23950,,No,,+49-6196-7698685; +49-6196-7698699,
Keller Williams,timothypshea.com,Real Estate,,23919,,No,,+1-978-882-4217; +1-781-789-5128,
,manulifeim.com.vn,Unknown,VN,23900,,No,,,facebook.com/manulifevietnam
Costa Kreuzfahrten Switzerland AG,costakreuzfahrten.ch,Business And Industrial,IT,23879,,No,,+39-010-54831,facebook.com/costakreuzfahrtench; instagram.com/costacruisesofficial
Dupont,dupont.de,Travel,DE,23855,,No,,+49-6102-182408; +49-30-225050160,youtube.com/user/dupont; twitter.com/dupont_news
"Nissan Slovakia, s.r.o",nissan.sk,Automotive And Vehicles,FR,23828,,No,,+33-8-00112020; +33-2-20110634,facebook.com/nissan.sk; youtube.com/user/slovenskonissan
,dentistsofsantaclara.com,,,23811,,No,,,
,dentistsofkatypark.com,,,23811,,No,,,
,dentistsofcampuscommons.com,Health And Fitness,US,23811,,No,,+1-916-432-2842; +1-714-845-8605,
,mykidsdentistwildomar.com,Technology And Computing,US,23811,,No,,+1-951-225-4068; +1-714-845-8605,
,hemetkidsdental.com,Health And Fitness,US,23811,,No,,+1-951-684-0820; +1-714-845-8605,
,mykidsdentistmurrieta.com,Technology And Computing,US,23811,,No,,+1-951-543-9745; +1-714-845-8605,twitter.com/mykidsdentist; facebook.com/mykidsdentistonline
,dentistsofcentennial.com,Finance,US,23811,,No,,+1-714-845-8605,
,lakeworthmoderndentistry.com,Health And Fitness,US,23811,,No,,+1-561-467-4439; +1-714-845-8605,
Clemson Modern Dentistry,clemsonmoderndentistry.com,Health And Fitness,US,23811,,No,,+1-803-830-5972; +1-714-845-8605,
,rivernorthmoderndentistry.com,,,23811,,No,,,
,bellflowergatewaymoderndentistry.com,,,23811,,No,,,
Belton Modern Dentistry,beltonmoderndentistry.com,Health And Fitness,US,23811,,No,,+1-816-322-3506; +1-714-845-8500,
,dentistsofkenwood.com,,,23811,,No,,,
,harperskidsdentistry.com,,,23811,,No,,,
,thedentalofficeofchandler.com,Health And Fitness,US,23811,,No,,+1-714-845-8500,
,stonebridgemoderndentistry.com,Health And Fitness,US,23811,,No,,+1-469-899-0625; +1-714-845-8500,
,dentistsofwestseattle.com,Health And Fitness,US,23811,,No,,+1-714-845-8605; +1-206-928-6242,
,dentistsofsanjuancapistrano.com,,,23811,,No,,,
,dentistsofbocavillage.com,Unknown,US,23811,,No,,,
,newmarkmoderndentistry.com,Health And Fitness,US,23811,,No,,+1-816-400-4045; +1-714-845-8605,
,dentistsonsandcanyon.com,,,23811,,No,,,
,dentistsatbuckeyecommons.com,,,23811,,No,,,
,thedentalofficeofmckinney.com,Health And Fitness,US,23811,,No,,+1-214-764-2895; +1-714-845-8500,
Nissan,nissan.ro,Automotive And Vehicles,JP,23800,,No,,,facebook.com/nissanromania; linkedin.com/company/nissan-romania
Nissan Islandi,nissan.is,Automotive And Vehicles,JP,23800,,No,,,facebook.com/nissanvinir; youtube.com/user/nissanineurope
,exploretfpi.com,Art And Entertainment,DK,23800,,No,,,
F. Hoffmann-La Roche Ltd,findrochetrials.ca,Unknown,CA,23800,,No,,,
Marriott International INC,traveler.marriott.com,Unknown,US,23748,,No,,,twitter.com/marriottbonvoy; facebook.com/marriottbonvoy
AbbVie Inc,faceyourbackpain.com,Health And Fitness,US,23640,,No,,,
Sony Latin America Inc,sony.com.pa,Technology And Computing,US,23550,,No,,,facebook.com/sonyamericalatina; youtube.com/user/sonylatin
Sony Corporation,sony.com.pe,Technology And Computing,,23550,,No,,,facebook.com/sonyperu; instagram.com/sonylatin
Genentech USA Inc,columvi-hcp.com,Health And Fitness,,23487,,No,,,
Genentech USA Inc,piasky-hcp.com,Unknown,,23487,,No,,,
,avo.africa,,,23418,,No,,,
Allianz SE,allianz.sg,Business And Industrial,SG,23410,,No,,,linkedin.com/company/allianz-global-corporate-
Allianz Handwerker Services,allianz-handwerker.de,Art And Entertainment,DE,23410,,No,info@allianz-handwerker.de,+49-30-889287338; +49-89-517191002,
Bristol Myers Squibb Australia Pty Ltd,gastro-hub.com.au,Unknown,AU,23400,,No,,,
,bms-oncall.com.au,Unknown,AU,23400,,No,,,
Natural History Museum,nhm.ac.uk,Art And Entertainment,GB,23380,,No,unsubscribe@nhm.ac.uk; library@nhm.ac.uk,+1-800-260-7890,twitter.com/nhm_london; pinterest.com/nhmlondon
Escolha endesa,escolhaendesa.pt,Sports,,23345,,No,,,facebook.com/endesaportugal; instagram.com/endesaportugalclientes
,indiafoldingcarton.com,Business And Industrial,IN,23337,,No,,+1-203-840-5406,twitter.com/indiafolding; facebook.com/indiacorrexpo
AbbVie Inc,rinvoqpr.com,Health And Fitness,US,23320,,No,,+1-855-266-8446,
AbbVie Inc,rxabbvie.com,Technology And Computing,US,23320,,No,,+1-800-332-1088,twitter.com/abbvie; linkedin.com/company/abbvie
Nissan Motor Latvia S.L,nissan.lv,Automotive And Vehicles,FR,23299,,No,,+33-2-11154739; +33-3-30063841,facebook.com/nissanlatvija; youtube.com/user/nissanlatvija
Colgate-Palmolive Company,colgate.it,Business And Industrial,IT,23196,,No,,,facebook.com/colgate; youtube.com/user/colgateuk
,powerofcolo.com,,,23185,,No,,,
Farmlands Co-operative Society Ltd,farmlands.co.nz,Business And Industrial,NZ,23153,,No,help@farmlands.co.nz,,facebook.com/farmlandsnz; linkedin.com/company/farmlands-trading-society-ltd
"OnePlus Technology (Shenzhen) Co., Ltd.",oneplus.com,Health And Fitness,US,23073,,No,security@oneplus.com; privacy@oneplus.com,+1-847-498-1570; +1-800-275-2249,twitter.com/oneplus; facebook.com/oneplus
Robert Walters Plc,robertwalters.com.au,Business And Industrial,AU,23070,,No,sydney@robertwalters.com.au; privacy@robertwalters.com.au,+61-28-2893238; +61-72-0160108,twitter.com/robertwalterspr; facebook.com/robertwaltersplc
,pkzh.ch,,,23067,,No,,,
Abbott Laboratories,latam.abbott,Health And Fitness,AR,23040,,No,,,twitter.com/abbottnews; facebook.com/abbott
Service de destruction securisees de documents,shredit.fr,Health And Fitness,FR,23007,,No,,+33-8-00844848,twitter.com/shredit; facebook.com/shredit
Sony Corporation,sony.co.uk,Technology And Computing,GB,22864,,No,info@sony.co.uk,,facebook.com/sonyuk; pinterest.com/sonyuk
Ayear Corteva,corteva.co.uk,Business And Industrial,GB,22847,,No,,+44-800-6898899; +44-800-7722492,twitter.com/cortevauk; facebook.com/cortevauk
Secil Group,secil.es,Science,ES,22837,,No,,+34-986-439933,facebook.com/secil.seciltek; linkedin.com/company/secil
Colgate Palmolive GmbH,colgate.at,Health And Fitness,US,22836,,No,,+1-810-444-0057; +1-801-265-4283,facebook.com/colgate; twitter.com/colgate
Dynamic Materials Corporation,nobelclad.com,Business And Industrial,US,22810,,No,,+1-303-665-5700; +1-512-327-2043,linkedin.com/company/nobelclad
Mastercard,mastercard.hr,Pets,US,22800,,No,,+1-800-627-8372,facebook.com/mastercardhrvatska; instagram.com/mastercardhr
